Online shop URL,Label,Domain length,Top domain length,Presence of prefix 'www' ,Number  of digits,Number  of letters,Number  of dots (.),Number  of hyphens (-),Presence of credit card payment,Presence of money back payment,Presence of cash on delivery payment,Presence of crypto currency,Presence of free contact emails,Presence of logo URL,SSL certificate issuer,SSL certificate expire date,Issuer organization,SSL certificate issuer organization list item,Indication of young domain ,Domain registration date,Presence of TrustPilot reviews,TrustPilot score,Presence of SiteJabber reviews,Presence in the standard Tranco list,Tranco List rank
https://store.dji.com/l,legitimate,13,3,0,0,17,2,0,1,1,0,0,3,1,Amazon RSA 2048 M01,Jan 25 23:59:59 2024 GMT,Amazon,6,0,1996-01-16 05:00,1,2.1,0,0,-1
https://www.emporiumcosplay.com,fraudulent,23,3,1,0,26,2,0,1,1,0,0,0,1,E1,Sep 28 02:50:05 2023 GMT,Let's Encrypt,2,1,2023-06-30 03:27,0,,0,0,-1
https://www.chasin.com,legitimate,14,3,1,0,17,2,0,1,1,1,0,2,1,Sectigo RSA Extended Validation Secure Server CA,Jun 20 23:59:59 2024 GMT,Sectigo Limited,3,0,2000-02-23 09:08,0,-1,1,0,-1
https://patakhay.com,fraudulent,12,3,0,0,16,1,0,0,0,0,0,0,0,R3,Oct 12 08:09:11 2023 GMT,Let's Encrypt,2,1,2023-07-14 08:18,0,,0,0,-1
https://www.scandinavian-lifestyle.de,legitimate,29,2,1,0,31,2,1,1,1,0,0,2,1,RapidSSL Global TLS RSA4096 SHA256 2022 CA1,Jun  4 23:59:59 2024 GMT,DigiCert Inc,7,2,Hidden,0,-1,0,0,-1
https://q2wholesale.nl,legitimate,14,2,0,1,17,1,0,1,0,0,0,2,1,Sectigo RSA Domain Validation Secure Server CA,Sep 16 23:59:59 2023 GMT,Sectigo Limited,3,0,2014-02-11 00:00,0,-1,0,0,-1
https://sockwell.eu,legitimate,11,2,0,0,15,1,0,1,1,1,0,2,1,R3,Sep 14 21:58:50 2023 GMT,Let's Encrypt,2,2,Hidden,0,-1,0,0,-1
https://mythsandmagic.myshopify.com,legitimate,27,13,0,0,30,2,0,1,1,0,0,1,1,Cloudflare Inc ECC CA-3,Sep 21 23:59:59 2023 GMT,"Cloudflare, Inc.",1,0,2006-03-03 03:01,0,-1,0,0,-1
https://cottonstories.pl,legitimate,16,2,0,0,20,1,0,0,0,0,0,2,1,Shoper SSL,Dec  7 23:04:32 2023 GMT,Dreamcommerce S.A.,11,0,2020-04-23 19:17,0,-1,0,0,-1
https://fabrap.co,legitimate,9,2,0,0,13,1,0,1,1,0,0,2,1,R3,Sep  1 02:59:32 2023 GMT,Let's Encrypt,2,0,2018-10-09 10:24,0,-1,0,0,-1
